query_name,plan_size,true_cost,compass_est,psql_est,plan
1a,4,539,1384046,7393,"['mi_idx', 'it', 'mc', 'ct']"
1b,4,80,1514704,10320,"['mi_idx', 'it', 't', 'mc']"
1c,4,265,1412166,8295,"['mi_idx', 'it', 't', 'mc']"
1d,4,94,1838902,13200,"['mi_idx', 'it', 't', 'mc']"
2a,4,198226,78368,128,"['mk', 'k', 'mc', 'cn']"
2b,4,195620,61703,125,"['mk', 'k', 'mc', 'cn']"
2c,4,1980,470791,9713,"['cn', 'mc', 'mk', 'k']"
2d,4,232232,158487,144,"['mk', 'k', 't', 'mc']"
32a,5,378,22362523,522,"['mk', 'k', 't1', 'ml', 't2']"
32b,5,92456,336821,42,"['mk', 'k', 't1', 'ml', 't2']"
3a,3,14717,44323,347,"['mk', 'k', 'mi']"
3b,3,1147,108892,97,"['t', 'mi', 'mk']"
3c,3,20825,59650,436,"['mk', 'k', 't']"
4a,4,12217,275081,4765,"['t', 'mi_idx', 'mk', 'k']"
4b,4,387,42399,60,"['t', 'mi_idx', 'mk', 'k']"
4c,4,3574,205610,67,"['t', 'mi_idx', 'mk', 'k']"
5a,4,130548,280127,32484,"['t', 'mi', 'mc', 'ct']"
5b,4,962,108405,515,"['mc', 'ct', 't', 'mi']"
5c,4,2158,93233,1565,"['mc', 'ct', 'mi', 't']"
6a,4,1249,685260,141,"['k', 'mk', 't', 'ci']"
6b,4,507,79337,2138,"['ci', 'n', 't', 'mk']"
6c,4,49,74654,22,"['k', 'mk', 't', 'ci']"
6d,4,5994,3071223,5395,"['ci', 'n', 't', 'mk']"
6e,4,1249,1625519,451,"['k', 'mk', 't', 'ci']"
6f,4,835190,4614456,3578,"['k', 'mk', 't', 'ci']"
7a,7,361823,60794313,641,"['ml', 'lt', 't', 'ci', 'n', 'pi', 'it']"
7b,7,47850,13568254,573,"['t', 'ml', 'lt', 'ci', 'n', 'pi', 'it']"
7c,7,1211493,326666020,16760,"['pi', 'it', 'n', 'ci', 'ml', 't', 'lt']"
8a,6,1244,49549,600,"['n', 'ci', 'mc', 'rt', 'cn', 't']"
8b,6,120,1712,5,"['t', 'mc', 'cn', 'ci', 'n', 'rt']"
8c,6,13091770,711445296,678620,"['ci', 'rt', 'mc', 'cn', 't', 'n']"
8d,6,1686120,1322843784,445902,"['ci', 'rt', 'an', 'n', 't', 'mc']"
9a,7,1534,815980271,21,"['ci', 'n', 't', 'mc', 'cn', 'chn', 'rt']"
9b,7,661,8370771,14,"['ci', 'n', 'mc', 't', 'cn', 'rt', 'chn']"
9c,7,40539,1046699350,6683,"['ci', 'n', 'mc', 'cn', 'chn', 'rt', 't']"
9d,7,1496743,1500466581,14348,"['ci', 'rt', 'mc', 'cn', 'chn', 'n', 't']"
10a,6,9542,1047534,9759,"['mc', 'cn', 'ci', 't', 'rt', 'chn']"
10b,6,44506,409420,19846,"['mc', 'cn', 't', 'ct', 'ci', 'rt']"
